spec	Fold_0
nist_1102013	train
nist_1102031	train
nist_1102044	train
nist_1102050	train
nist_1102063	train
nist_1102068	train
nist_1102071	train
nist_1102083	val
nist_1102088	train
nist_1102123	train
nist_1102135	train
nist_1102139	train
nist_1102146	train
nist_1102159	train
nist_1102179	train
nist_1102193	train
nist_1102195	train
nist_1102208	train
nist_1102214	train
nist_1102220	train
nist_1102232	test
nist_1102246	test
nist_1102259	test
nist_1102271	train
nist_1102283	train
nist_1102286	test
nist_1102313	train
nist_1102332	train
nist_1102337	train
nist_1102344	train
nist_1102359	train
nist_1102372	train
nist_1102378	train
nist_1102393	train
nist_1102400	train
nist_1102408	train
nist_1102412	val
nist_1102420	val
nist_1102423	val
nist_1102452	val
nist_1127505	train
nist_1127542	train
nist_1127559	train
nist_1127579	train
nist_1127593	train
nist_1127634	train
nist_1127654	val
nist_1127679	val
nist_1127691	train
nist_1127730	train
nist_1127748	train
nist_1127770	train
nist_1127803	train
nist_1127826	train
nist_1127841	train
nist_1127851	train
nist_1127910	train
nist_1127928	train
nist_1127953	train
nist_1127980	train
nist_1128046	train
nist_1128073	train
nist_1128107	train
nist_1128176	train
nist_1128197	train
nist_1128212	train
nist_1128230	test
nist_1128250	test
nist_1128262	test
nist_1128281	train
nist_1128300	train
nist_1128381	train
nist_1128401	train
nist_1128415	train
nist_1128490	train
nist_1128509	train
nist_1128525	train
nist_1128537	train
nist_1128561	train
nist_1128585	val
nist_1128638	train
nist_1128650	train
nist_1128663	train
nist_1128696	train
nist_1128713	train
nist_1128761	train
nist_1128780	train
nist_1128805	train
nist_1128845	train
nist_1128872	train
nist_1128891	train
nist_1128913	train
nist_1128931	train
nist_1128982	train
nist_1129041	train
nist_1129066	train
nist_1129084	train
nist_1129105	train
nist_1129114	train
nist_1129131	train
nist_1129147	train
nist_1129164	test
nist_1129177	test
nist_1129195	test
nist_1129213	train
nist_1129229	train
nist_1129238	train
nist_1129265	train
nist_1129282	test
nist_1129301	test
nist_1129318	train
nist_1129335	train
nist_1129343	train
nist_1129359	train
nist_1129377	train
nist_1129386	train
nist_1129414	train
nist_1129427	train
nist_1129446	train
nist_1129473	train
nist_1129481	train
nist_1129494	train
nist_1129508	train
nist_1129576	train
nist_1129593	train
nist_1129613	train
nist_1129624	train
nist_1129733	test
nist_1129752	train
nist_1129774	train
nist_1129790	train
nist_1129820	train
nist_1129863	train
nist_1129881	train
nist_1129905	train
nist_1129924	train
nist_1129977	train
nist_1130003	train
nist_1130018	train
nist_1130105	train
nist_1130118	train
nist_1130136	train
nist_1130217	train
nist_1130296	train
nist_1130323	train
nist_1130345	train
nist_1130419	train
nist_1130434	train
nist_1130451	test
nist_1130471	test
nist_1130535	test
nist_1130552	val
nist_1130574	val
nist_1130648	val
nist_1130665	val
nist_1130693	val
nist_1130707	val
nist_1130720	train
nist_1130755	train
nist_1130791	train
nist_1130804	train
nist_1130871	train
nist_1130894	train
nist_1130941	train
nist_1130959	train
nist_1131005	val
nist_1131049	val
nist_1131070	train
nist_1131090	train
nist_1131138	train
nist_1131154	train
nist_1131193	train
nist_1131211	val
nist_1131248	val
nist_1131267	test
nist_1131287	test
nist_1131318	test
nist_1131337	train
nist_1131369	train
nist_1131392	train
nist_1131413	train
nist_1131504	train
nist_1131523	train
nist_1131608	train
nist_1131629	train
nist_1131650	train
nist_1131666	train
nist_1131686	train
nist_1131699	val
nist_1131723	val
nist_1131739	train
nist_1131779	train
nist_1131797	train
nist_1131820	test
nist_1131844	test
nist_1131861	test
nist_1131879	train
nist_1131900	train
nist_1131928	train
nist_1131948	train
nist_1131970	train
nist_1131997	train
nist_1132018	train
nist_1132032	train
nist_1132051	train
nist_1132069	train
nist_1132083	train
nist_1132101	train
nist_1132121	train
nist_1132141	train
nist_1132161	train
nist_1132185	train
nist_1132202	train
nist_1132222	train
nist_1132243	train
nist_1132263	train
nist_1132284	train
nist_1132299	train
nist_1132337	val
nist_1132383	val
nist_1132405	val
nist_1132422	val
nist_1132438	test
nist_1132461	test
nist_1132479	test
nist_1132495	train
nist_1132515	train
nist_1132531	train
nist_1132549	train
nist_1132562	train
nist_1132581	train
nist_1132602	train
nist_1132623	train
nist_1132659	train
nist_1132683	train
nist_1132698	train
nist_1132728	train
nist_1132749	train
nist_1132753	train
nist_1132777	train
nist_1132802	train
nist_1132815	train
nist_1132830	train
nist_1132851	train
nist_1132871	train
nist_1132880	train
nist_1132898	train
nist_1132909	train
nist_1132935	train
nist_1132959	train
nist_1132980	train
nist_1132997	train
nist_1133018	train
nist_1133036	train
nist_1133053	train
nist_1133076	train
nist_1133096	train
nist_1133111	train
nist_1133133	train
nist_1133155	train
nist_1133168	train
nist_1133183	train
nist_1133224	train
nist_1133229	train
nist_1133250	train
nist_1133297	train
nist_1133298	train
nist_1133318	train
nist_1133337	train
nist_1133361	val
nist_1133383	val
nist_1133405	val
nist_1133418	val
nist_1133434	test
nist_1133468	test
nist_1133487	train
nist_1133505	train
nist_1133523	train
nist_1133538	train
nist_1133560	train
nist_1133585	train
nist_1133604	val
nist_1133619	train
nist_1133642	val
nist_1133666	val
